City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Pontian Kecil,MY,2022-02-11 00:55:33,1.4801,103.3899,77.27,89,100,5.88
146,Provideniya,RU,2022-02-11 00:55:34,64.3833,-173.3,-7.49,64,0,6.71
147,Avarua,CK,2022-02-11 00:49:56,-21.2078,-159.775,84.25,74,75,9.22
148,Viedma,AR,2022-02-11 00:55:35,-40.8135,-62.9967,61.86,54,91,10.78
149,Hambantota,LK,2022-02-11 00:55:36,6.1241,81.1185,75.54,100,75,6.91
150,Shu,KZ,2022-02-11 00:55:36,43.5983,73.7614,27.07,66,93,2.75
151,Vila Velha,BR,2022-02-11 00:50:07,-20.3297,-40.2925,76.95,88,100,5.75
152,Bonavista,CA,2022-02-11 00:55:36,48.6499,-53.1147,33.12,88,9,13.09
153,Tupik,RU,2022-02-11 00:55:37,54.4253,119.9327,-9.09,95,100,3.47
154,Pangnirtung,CA,2022-02-11 00:49:55,66.1451,-65.7125,-0.99,94,100,9.06
155,Hithadhoo,MV,2022-02-11 00:55:38,-0.6,73.0833,81.01,71,100,4.38
156,Ternate,ID,2022-02-11 00:55:38,0.8,127.4,82.96,73,24,3.71
157,Tamandare,BR,2022-02-11 00:55:38,-8.7597,-35.1047,79.92,72,100,9.91
158,Ust-Ilimsk,RU,2022-02-11 00:50:59,58.0006,102.6619,-19.26,99,45,3.67
159,Vardo,NO,2022-02-11 00:55:39,70.3705,31.1107,24.6,82,99,14.61
160,Cordoba,AR,2022-02-11 00:55:39,-31.4135,-64.1811,75.42,64,0,6.91
161,Santa Rosa,PH,2022-02-11 00:52:08,14.3122,121.1114,82.09,73,100,13.6
162,Fortuna,US,2022-02-11 00:54:46,40.5982,-124.1573,69.42,52,20,4.61
163,Chicama,PE,2022-02-11 00:55:40,-7.8447,-79.1469,70.34,71,88,5.35
164,Namibe,AO,2022-02-11 00:55:40,-15.1961,12.1522,72.48,89,100,5.53
165,Denpasar,ID,2022-02-11 00:55:40,-8.65,115.2167,80.26,78,75,3.44
166,Chokurdakh,RU,2022-02-11 00:55:41,70.6333,147.9167,-26.45,91,76,9.24
167,De Aar,ZA,2022-02-11 00:55:41,-30.6497,24.0123,69.93,15,0,3.58
168,Ahipara,NZ,2022-02-11 00:55:41,-35.1667,173.1667,78.87,81,46,10.42
169,Chernyshevskiy,RU,2022-02-11 00:55:42,63.0128,112.4714,-19.08,97,98,2.17
170,Bonnyville,CA,2022-02-11 00:53:58,54.2668,-110.735,29.52,91,100,10.04
171,Alpena,US,2022-02-11 00:55:42,45.0617,-83.4327,28.54,79,100,4.05
172,Coahuayana,MX,2022-02-11 00:55:43,18.7333,-103.6833,70.9,58,0,1.97
173,Anito,PH,2022-02-11 00:55:43,12.4497,125.2886,79.27,84,100,12.93
174,Sao Filipe,CV,2022-02-11 00:55:43,14.8961,-24.4956,76.03,65,100,3.76
175,Yerbogachen,RU,2022-02-11 00:55:44,61.2767,108.0108,-17.79,99,94,2.86
176,Leningradskiy,RU,2022-02-11 00:55:44,69.3833,178.4167,-21.14,97,92,2.75
177,Okhotsk,RU,2022-02-11 00:55:44,59.3833,143.3,7.92,77,100,5.46
178,Cabo San Lucas,MX,2022-02-11 00:51:06,22.8909,-109.9124,71.19,55,94,1.36
179,Wenling,CN,2022-02-11 00:55:45,28.3669,121.36,44.91,93,100,7.14
180,Jatai,BR,2022-02-11 00:51:09,-17.8814,-51.7144,67.53,95,92,2.91
181,Jamsa,FI,2022-02-11 00:55:45,61.8642,25.19,24.35,92,45,10.07
182,Trairi,BR,2022-02-11 00:52:15,-3.2778,-39.2689,77.05,82,11,5.55
183,Mahebourg,MU,2022-02-11 00:50:06,-20.4081,57.7,75.49,94,40,3.44
184,Aberdeen,GB,2022-02-11 00:56:46,57.1437,-2.0981,34.21,91,12,9.22
185,Khandbari,NP,2022-02-11 00:56:47,27.3747,87.2039,46.74,72,67,4.27
186,Rovaniemi,FI,2022-02-11 00:56:47,66.5,25.7167,24.21,93,100,10.36
187,Steamboat Springs,US,2022-02-11 00:56:47,40.485,-106.8317,38.07,76,100,6.91
188,Besikduzu,TR,2022-02-11 00:56:48,41.052,39.2284,42.69,78,65,5.55
189,Hualmay,PE,2022-02-11 00:56:48,-11.0964,-77.6139,70.9,78,91,6.62
