City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
393,Baherden,TM,38.4362,57.4316,45.88,73,50,6.62,scattered clouds
394,Koumac,NC,-20.5667,164.2833,77.94,86,66,2.95,broken clouds
395,Yumen,CN,40.2833,97.2,25.07,45,100,7.83,overcast clouds
396,Nemuro,JP,43.3236,145.575,21.6,79,62,2.93,broken clouds
397,Akdepe,TM,42.0551,59.3788,39.2,67,56,6.91,broken clouds
398,Zhireken,RU,52.8249,117.3076,-14.21,99,99,2.46,overcast clouds
399,Vostok,RU,46.4856,135.8833,4.8,98,100,2.19,light snow
400,Maragogi,BR,-9.0122,-35.2225,85.77,62,71,15.84,broken clouds
401,Chajul,GT,15.4853,-91.0342,69.84,46,0,4.74,clear sky
402,Sao Filipe,CV,14.8961,-24.4956,79.93,45,91,17.52,overcast clouds
403,Svay Rieng,KH,11.0879,105.7993,76.12,82,62,8.52,broken clouds
404,Puerto Maldonado,PE,-12.6,-69.1833,72.0,94,75,4.61,light intensity drizzle
405,Kasama,ZM,-10.2129,31.1808,62.94,93,94,1.36,light rain
406,Chalus,IR,36.655,51.4204,49.53,81,65,5.99,broken clouds
407,Hirara,JP,24.8,125.2833,69.33,87,99,15.93,overcast clouds
408,Preobrazheniye,RU,42.9019,133.9064,16.2,65,2,8.01,clear sky
409,Kamaishi,JP,39.2667,141.8833,35.67,77,60,7.85,broken clouds
410,Seddon,AU,-37.8068,144.8916,65.77,83,0,5.75,clear sky
411,Saldanha,ZA,-33.0117,17.9442,66.76,88,100,18.19,overcast clouds
412,Ninotsminda,GE,41.2646,43.5916,10.85,64,5,4.38,clear sky
413,Pobe,BJ,6.9801,2.6649,88.92,46,97,11.25,overcast clouds
414,Awbari,LY,26.5921,12.7805,60.42,22,0,9.73,clear sky
415,Mnogovershinnyy,RU,53.9353,139.9242,7.0,97,100,3.47,overcast clouds
416,Pokhara,NP,28.2333,83.9833,51.42,64,1,3.69,clear sky
417,Bako,ET,5.7833,36.5667,72.52,40,58,3.4,broken clouds
418,Khalkhal,IR,37.6189,48.5258,23.22,64,8,0.38,clear sky
419,Porto Novo,BJ,6.4965,2.6036,85.28,62,84,11.25,broken clouds
420,Arica,CL,-18.475,-70.3042,83.75,53,0,11.5,clear sky
421,Dovers,VC,12.8833,-61.1833,77.52,74,56,16.73,broken clouds
422,Lahaina,US,20.8783,-156.6825,70.81,83,3,6.33,clear sky
423,Lata,PT,40.1629,-8.3327,59.72,72,95,5.12,overcast clouds
424,Brokopondo,SR,4.75,-55.1667,80.51,79,90,6.78,overcast clouds
425,Calama,CL,-22.4667,-68.9333,73.89,15,0,21.85,clear sky
426,Shenjiamen,CN,29.9576,122.298,46.26,92,86,9.22,overcast clouds
427,Kaspiysk,RU,42.8816,47.6392,35.78,87,7,6.71,clear sky
428,Port Macquarie,AU,-31.4333,152.9167,61.9,76,81,7.47,broken clouds
429,Anda,CN,46.4,125.3167,-8.54,100,45,2.66,scattered clouds
430,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,81,100,11.77,overcast clouds
431,Biryusinsk,RU,55.9634,97.8235,-12.87,98,21,5.28,few clouds
432,Bereda,ES,43.2686,-7.5406,55.58,72,71,2.37,broken clouds
433,Lagoa,PT,39.05,-27.9833,60.04,87,100,22.03,overcast clouds
434,Luderitz,NA,-26.6481,15.1594,75.06,65,34,3.98,scattered clouds
